"Locale","StoreLocale","Title","ShortDescription","Description","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7"
"gu-IN","gu-IN","JoeSSH","Windows x64 પર સ્થાનિક SSH, SFTP અને પોર્ટ ફોરવર્ડિંગ માટે મફત ઓપન-સોર્સ Public Beta.","JoeSSH Windows x64 પર સ્થાનિક SSH કાર્ય માટે મફત અને ઓપન-સોર્સ Public Beta છે. તમને પરવાનગી હોય તેવા સર્વર સાથે જોડાઓ, હોસ્ટ કી તપાસો, ઇન્ટરેક્ટિવ ટર્મિનલ વાપરો, SFTP દ્વારા ફાઇલો સ્થાનાંતરિત કરો અને સ્થાનિક પોર્ટ ફોરવર્ડિંગ સંચાલિત કરો. પ્રોફાઇલ અને પસંદગીઓ ડિફૉલ્ટ રૂપે આ ડિવાઇસ પર જ રહે છે. JoeSSH એકાઉન્ટ અથવા હોસ્ટેડ સેવા જરૂરી નથી.","SSH હોસ્ટ કી તપાસ","ઇન્ટરેક્ટિવ ટર્મિનલ","25 MiB સુધીના SFTP સ્થાનાંતરણ","ફક્ત loopback સ્થાનિક પોર્ટ ફોરવર્ડિંગ","સ્થાનિક કનેક્શન પ્રોફાઇલ","SSH","SFTP","ઇન્ટરેક્ટિવ ટર્મિનલ","સ્થાનિક પોર્ટ ફોરવર્ડિંગ","સ્થાનિક કનેક્શન પ્રોફાઇલ","Windows","Public Beta"
"ga-IE","ga-IE","JoeSSH","Public Beta saor in aisce agus foinse oscailte do SSH logánta, SFTP agus cur ar aghaidh calafoirt ar Windows x64.","Is Public Beta saor in aisce agus foinse oscailte é JoeSSH d’obair SSH logánta ar Windows x64. Ceangail le freastalaí a bhfuil cead agat é a úsáid, déan athbhreithniú ar eochracha an óstaigh, bain úsáid as teirminéal idirghníomhach, aistrigh comhaid le SFTP agus bainistigh cur ar aghaidh calafoirt logánta. Fanann próifílí agus roghanna ar an ngléas seo de réir réamhshocraithe. Ní theastaíonn cuntas JoeSSH ná seirbhís óstáilte.","Athbhreithniú eochair óstaigh SSH","Teirminéal idirghníomhach","Aistrithe SFTP suas le 25 MiB","Cur ar aghaidh calafoirt logánta trí loopback amháin","Próifílí ceangail logánta","SSH","SFTP","Teirminéal idirghníomhach","Cur ar aghaidh calafoirt","Próifílí ceangail","Windows","Public Beta"
"kok-IN","kok-IN","JoeSSH","Windows x64 आंत स्थानिक SSH, SFTP आनी पोर्ट फॉरवर्डिंग खातीर फुकट, मुक्त-स्रोत Public Beta.","JoeSSH हें Windows x64 आंत स्थानिक SSH कामा खातीर फुकट आनी मुक्त-स्रोत Public Beta आसा. तुमका वापरपाची परवानगी आसलेल्या सर्व्हराक जोडात, होस्ट की तपासात, परस्पर टर्मिनल वापरात, SFTP वरवीं फायलो हालोवात आनी स्थानिक पोर्ट फॉरवर्डिंग सांबाळात. प्रोफायल आनी पसंती ह्या डिव्हायसार डीफॉल्टान दवरात. JoeSSH खातें वा होस्टेड सेवा जायना.","SSH होस्ट की तपासणी","परस्पर टर्मिनल","25 MiB मेरेन SFTP हस्तांतरण","फकत loopback स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक जोडणी प्रोफायल","SSH","SFTP","परस्पर टर्मिनल","स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक जोडणी प्रोफायल","Windows","Public Beta"
"lb-LU","lb-LU","JoeSSH","Gratis Open-Source Public Beta fir lokalen SSH, SFTP a Port-Forwarding op Windows x64.","JoeSSH ass eng gratis Open-Source Public Beta fir lokal SSH-Aarbecht op Windows x64. Verbannt Iech mat engem Server, deen Dir benotze dierft, iwwerpréift d’Host-Schlësselen, benotzt en interaktiven Terminal, transferéiert Fichiere mat SFTP a geréiert lokal Port-Forwarding. Profiller a Preferenze bleiwen als Standard op dësem Apparat. E JoeSSH-Kont oder en gehoste Service ass net néideg.","SSH-Hostschlëssel iwwerpréiwen","Interaktiven Terminal","SFTP-Transfere bis 25 MiB","Lokalt Port-Forwarding nëmmen iwwer loopback","Lokal Verbindungsprofiller","SSH","SFTP","Interaktiven Terminal","Lokalt Port-Forwarding","Lokal Verbindungsprofiller","Windows","Public Beta"
"mt-MT","mt-MT","JoeSSH","Public Beta b’xejn u open source għal SSH lokali, SFTP u forwarding tal-portijiet fuq Windows x64.","JoeSSH huwa Public Beta b’xejn u open source għal xogħol SSH lokali fuq Windows x64. Ikkonnettja ma’ server li għandek permess tuża, irrevedi ċ-ċwievet tal-host, uża terminal interattiv, ittrasferixxi fajls b’SFTP u mmaniġġja l-forwarding tal-portijiet lokali. Il-profili u l-preferenzi jinżammu fuq dan it-tagħmir b’mod awtomatiku. M’hemmx bżonn kont JoeSSH jew servizz ospitat.","Reviżjoni taċ-ċavetta tal-host SSH","Terminal interattiv","Trasferimenti SFTP sa 25 MiB","Forwarding lokali tal-portijiet permezz ta’ loopback biss","Profili ta’ konnessjoni lokali","SSH","SFTP","Terminal interattiv","Forwarding lokali tal-portijiet","Profili ta’ konnessjoni","Windows","Public Beta"
"mi-NZ","mi-NZ","JoeSSH","Public Beta kore utu, puna tuwhera mō SSH ā-rohe, SFTP me te tuku tauranga ki Windows x64.","He Public Beta kore utu, puna tuwhera a JoeSSH mō ngā mahi SSH ā-rohe ki Windows x64. Hono atu ki tētahi tūmau e whai whakaaetanga ana koe, arotakehia ngā kī kaihautū, whakamahia he kāpeka pāhekoheko, whakawhitihia ngā kōnae mā SFTP, ā, whakahaerehia ngā tuku tauranga ā-rohe. Ka noho ngā kōtaha me ngā manakohanga ki tēnei taputapu hei taunoa. Kāore he pūkete JoeSSH, he ratonga manaaki rānei e hiahiatia ana.","Arotake kī kaihautū SSH","Kāpeka pāhekoheko","Whakawhitinga SFTP ki te 25 MiB","Tuku tauranga ā-rohe mā loopback anake","Kōtaha hononga ā-rohe","SSH","SFTP","Kāpeka pāhekoheko","Tuku tauranga ā-rohe","Kōtaha hononga ā-rohe","Windows","Public Beta"
"mr-IN","mr-IN","JoeSSH","Windows x64 वर स्थानिक SSH, SFTP आणि पोर्ट फॉरवर्डिंगसाठी मोफत ओपन-सोर्स Public Beta.","JoeSSH हे Windows x64 वरील स्थानिक SSH कामासाठी मोफत आणि ओपन-सोर्स Public Beta आहे. तुम्हाला परवानगी असलेल्या सर्व्हरशी जोडा, होस्ट की तपासा, इंटरॅक्टिव्ह टर्मिनल वापरा, SFTP ने फाइल हस्तांतरित करा आणि स्थानिक पोर्ट फॉरवर्डिंग व्यवस्थापित करा. प्रोफाइल आणि प्राधान्ये डीफॉल्टनुसार या डिव्हाइसवरच राहतात. JoeSSH खाते किंवा होस्टेड सेवा आवश्यक नाही.","SSH होस्ट की तपासणी","इंटरॅक्टिव्ह टर्मिनल","25 MiB पर्यंतचे SFTP हस्तांतरण","फक्त loopback स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक कनेक्शन प्रोफाइल","SSH","SFTP","इंटरॅक्टिव्ह टर्मिनल","स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक कनेक्शन प्रोफाइल","Windows","Public Beta"
"ne-NP","ne-NP","JoeSSH","Windows x64 मा स्थानीय SSH, SFTP र पोर्ट फर्वार्डिङका लागि निःशुल्क खुला-स्रोत Public Beta।","JoeSSH Windows x64 मा स्थानीय SSH कामका लागि निःशुल्क खुला-स्रोत Public Beta हो। तपाईंलाई अनुमति भएको सर्भरमा जडान गर्नुहोस्, होस्ट कुञ्जी जाँच्नुहोस्, अन्तरक्रियात्मक टर्मिनल प्रयोग गर्नुहोस्, SFTP मार्फत फाइल सार्नुहोस् र स्थानीय पोर्ट फर्वार्डिङ व्यवस्थापन गर्नुहोस्। प्रोफाइल र प्राथमिकताहरू पूर्वनिर्धारित रूपमा यही उपकरणमा रहन्छन्। JoeSSH खाता वा होस्ट गरिएको सेवा आवश्यक छैन।","SSH होस्ट कुञ्जी समीक्षा","अन्तरक्रियात्मक टर्मिनल","25 MiB सम्म SFTP स्थानान्तरण","loopback मात्र स्थानीय पोर्ट फर्वार्डिङ","स्थानीय जडान प्रोफाइल","SSH","SFTP","अन्तरक्रियात्मक टर्मिनल","स्थानीय पोर्ट फर्वार्डिङ","स्थानीय जडान प्रोफाइल","Windows","Public Beta"
"or-IN","or-IN","JoeSSH","Windows x64 ରେ ସ୍ଥାନୀୟ SSH, SFTP ଏବଂ ପୋର୍ଟ ଫରୱାର୍ଡିଂ ପାଇଁ ମାଗଣା ମୁକ୍ତ-ସ୍ରୋତ Public Beta।","JoeSSH Windows x64 ରେ ସ୍ଥାନୀୟ SSH କାମ ପାଇଁ ମାଗଣା ମୁକ୍ତ-ସ୍ରୋତ Public Beta। ଆପଣଙ୍କର ଅନୁମତି ଥିବା ସର୍ଭରକୁ ସଂଯୋଗ କରନ୍ତୁ, ହୋଷ୍ଟ କୀ ସମୀକ୍ଷା କରନ୍ତୁ, ଇଣ୍ଟରାକ୍ଟିଭ୍ ଟର୍ମିନାଲ୍ ବ୍ୟବହାର କରନ୍ତୁ, SFTP ରେ ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର କରନ୍ତୁ ଏବଂ ସ୍ଥାନୀୟ ପୋର୍ଟ ଫରୱାର୍ଡିଂ ପରିଚାଳନା କରନ୍ତୁ। ପ୍ରୋଫାଇଲ୍ ଓ ପସନ୍ଦଗୁଡ଼ିକ ଡିଫଲ୍ଟ ଭାବରେ ଏହି ଡିଭାଇସରେ ରହେ। JoeSSH ଖାତା କିମ୍ବା ହୋଷ୍ଟେଡ୍ ସେବା ଦରକାର ନାହିଁ।","SSH ହୋଷ୍ଟ କୀ ସମୀକ୍ଷା","ଇଣ୍ଟରାକ୍ଟିଭ୍ ଟର୍ମିନାଲ୍","25 MiB ପର୍ଯ୍ୟନ୍ତ SFTP ସ୍ଥାନାନ୍ତର","କେବଳ loopback ସ୍ଥାନୀୟ ପୋର୍ଟ ଫରୱାର୍ଡିଂ","ସ୍ଥାନୀୟ ସଂଯୋଗ ପ୍ରୋଫାଇଲ୍","SSH","SFTP","ଇଣ୍ଟରାକ୍ଟିଭ୍ ଟର୍ମିନାଲ୍","ସ୍ଥାନୀୟ ପୋର୍ଟ ଫରୱାର୍ଡିଂ","ସ୍ଥାନୀୟ ସଂଯୋଗ ପ୍ରୋଫାଇଲ୍","Windows","Public Beta"
"pa-IN","pa-IN","JoeSSH","Windows x64 ਉੱਤੇ ਸਥਾਨਕ SSH, SFTP ਅਤੇ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ ਲਈ ਮੁਫ਼ਤ ਓਪਨ-ਸੋਰਸ Public Beta।","JoeSSH Windows x64 ਉੱਤੇ ਸਥਾਨਕ SSH ਕੰਮ ਲਈ ਮੁਫ਼ਤ ਅਤੇ ਓਪਨ-ਸੋਰਸ Public Beta ਹੈ। ਜਿਸ ਸਰਵਰ ਨੂੰ ਵਰਤਣ ਦੀ ਤੁਹਾਨੂੰ ਇਜਾਜ਼ਤ ਹੈ ਉਸ ਨਾਲ ਜੁੜੋ, ਹੋਸਟ ਕੁੰਜੀਆਂ ਦੀ ਜਾਂਚ ਕਰੋ, ਇੰਟਰਐਕਟਿਵ ਟਰਮੀਨਲ ਵਰਤੋ, SFTP ਰਾਹੀਂ ਫ਼ਾਈਲਾਂ ਭੇਜੋ ਅਤੇ ਸਥਾਨਕ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ ਸੰਭਾਲੋ। ਪ੍ਰੋਫ਼ਾਈਲ ਅਤੇ ਪਸੰਦਾਂ ਮੂਲ ਰੂਪ ਵਿੱਚ ਇਸ ਡਿਵਾਈਸ ਉੱਤੇ ਰਹਿੰਦੀਆਂ ਹਨ। JoeSSH ਖਾਤੇ ਜਾਂ ਹੋਸਟ ਕੀਤੀ ਸੇਵਾ ਦੀ ਲੋੜ ਨਹੀਂ।","SSH ਹੋਸਟ ਕੁੰਜੀ ਦੀ ਜਾਂਚ","ਇੰਟਰਐਕਟਿਵ ਟਰਮੀਨਲ","25 MiB ਤੱਕ SFTP ਟ੍ਰਾਂਸਫ਼ਰ","ਕੇਵਲ loopback ਸਥਾਨਕ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ","ਸਥਾਨਕ ਕਨੈਕਸ਼ਨ ਪ੍ਰੋਫ਼ਾਈਲ","SSH","SFTP","ਇੰਟਰਐਕਟਿਵ ਟਰਮੀਨਲ","ਸਥਾਨਕ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ","ਸਥਾਨਕ ਕਨੈਕਸ਼ਨ ਪ੍ਰੋਫ਼ਾਈਲ","Windows","Public Beta"
"qu-PE","quz-PE","JoeSSH","Public Beta mana qullqiyuq, qillqa kichasqa, Windows x64-pi SSH local, SFTP hinaspa puertokunapa ñawpaqman apayninpaq.","JoeSSHqa Public Beta mana qullqiyuq, qillqa kichasqa, Windows x64-pi SSH local llamkaypaqmi. Saqisqa kamachiqman tinkuy, hostpa llavenkunata qhawariy, rimanakuy qillqanata llamkachi, SFTPwan qillqakunata apachiy, hinaspa puertokunapa ñawpaqman apayninta kamachiy. Tinkiy perfilkunapas akllasqakunapas kay dispositivollapi waqaychasqa kachkan. JoeSSH yupay utaq wasichasqa yanapakuyqa manam munasqachu.","SSH hostpa llavenkunata qhawariy","Rimanakuy qillqana","SFTPwan qillqakuna 25 MiB-kama","Loopbacklla puertokunapa ñawpaqman apaynin","Tinkiy perfilkuna kay dispositivollapi","SSH","SFTP","Rimanakuy qillqana","puertokunapa ñawpaqman apaynin","Tinkiy perfilkuna","Windows","Public Beta"
"gd-GB","gd-GB","JoeSSH","Public Beta saor an-asgaidh le còd fosgailte airson SSH ionadail, SFTP agus cur air adhart phuirt air Windows x64.","’S e Public Beta saor an-asgaidh le còd fosgailte a th’ ann an JoeSSH airson obair SSH ionadail air Windows x64. Ceangail ri frithealaiche a tha cead agad a chleachdadh, dèan lèirmheas air iuchraichean an òstair, cleachd crìoch eadar-ghnìomhach, gluais faidhlichean le SFTP agus stiùir cur air adhart phuirt ionadail. Bidh pròifilean agus roghainnean air an sàbhaladh air an inneal seo mar bhun-roghainn. Chan eil cunntas JoeSSH no seirbheis aoigheachd a dhìth.","Lèirmheas air iuchair òstair SSH","Crìoch eadar-ghnìomhach","Gluasadan SFTP suas ri 25 MiB","Cur air adhart phuirt ionadail tro loopback a-mhàin","Pròifilean ceangail ionadail","SSH","SFTP","Crìoch eadar-ghnìomhach","Cur air adhart phuirt","Pròifilean ceangail","Windows","Public Beta"
"sr-Cyrl-BA","sr-Cyrl-BA","JoeSSH","Бесплатна Public Beta отвореног кода за локални SSH, SFTP и прослеђивање портова на Windows x64.","JoeSSH је бесплатна Public Beta отвореног кода за локални SSH рад на Windows x64. Повежите се са сервером за који имате дозволу, проверите кључеве хоста, користите интерактивни терминал, преносите датотеке помоћу SFTP-а и управљајте локалним прослеђивањем портова. Профили и подешавања се подразумевано чувају на овом уређају. JoeSSH налог или хостована услуга нису потребни.","Провера SSH кључа хоста","Интерактивни терминал","SFTP преноси до 25 MiB","Локално прослеђивање само преко loopback-а","Локални профили веза","SSH","SFTP","Интерактивни терминал","Локално прослеђивање портова","Локални профили","Windows","Public Beta"
"tt-RU","tt-RU","JoeSSH","Windows x64 өчен җирле SSH, SFTP һәм портларны юнәлтүгә бушлай, ачык чыганаклы Public Beta.","JoeSSH — Windows x64 системасында җирле SSH эше өчен бушлай һәм ачык чыганаклы Public Beta. Кулланырга рөхсәтегез булган серверга тоташыгыз, хост ачкычларын тикшерегез, интерактив терминал кулланыгыз, SFTP аша файллар күчерегез һәм җирле портларны юнәлтүне идарә итегез. Профильләр һәм көйләүләр килешү буенча бу җайланмада саклана. JoeSSH хисап язмасы яки урнаштырылган хезмәт кирәк түгел.","SSH хост ачкычын тикшерү","Интерактив терминал","25 MiB кадәр SFTP күчерүләре","Тик loopback аша җирле порт юнәлтү","Җирле тоташу профильләре","SSH","SFTP","Интерактив терминал","Җирле порт юнәлтү","Җирле тоташу профильләре","Windows","Public Beta"
"ur-PK","ur-PK","JoeSSH","Windows x64 پر مقامی SSH، SFTP اور پورٹ فارورڈنگ کے لیے مفت اوپن سورس Public Beta۔","JoeSSH Windows x64 پر مقامی SSH کے کام کے لیے مفت اور اوپن سورس Public Beta ہے۔ ایسے سرور سے جڑیں جسے استعمال کرنے کی آپ کو اجازت ہو، ہوسٹ کیز کا جائزہ لیں، انٹرایکٹو ٹرمینل استعمال کریں، SFTP کے ذریعے فائلیں منتقل کریں اور مقامی پورٹ فارورڈنگ سنبھالیں۔ پروفائلز اور ترجیحات بطور ڈیفالٹ اسی ڈیوائس پر رہتی ہیں۔ JoeSSH اکاؤنٹ یا ہوسٹڈ سروس کی ضرورت نہیں۔","SSH ہوسٹ کی کا جائزہ","انٹرایکٹو ٹرمینل","25 MiB تک SFTP منتقلی","صرف loopback مقامی پورٹ فارورڈنگ","مقامی کنکشن پروفائلز","SSH","SFTP","انٹرایکٹو ٹرمینل","مقامی پورٹ فارورڈنگ","مقامی کنکشن پروفائلز","Windows","Public Beta"
"ug-CN","ug-CN","JoeSSH","Windows x64 دىكى يەرلىك SSH، SFTP ۋە پورت يۆتكەش ئۈچۈن ھەقسىز، ئوچۇق كودلۇق Public Beta.","JoeSSH Windows x64 دىكى يەرلىك SSH خىزمىتى ئۈچۈن ھەقسىز، ئوچۇق كودلۇق Public Beta. ئىشلىتىش ھوقۇقىڭىز بار مۇلازىمېتىرغا ئۇلىنىڭ، host ئاچقۇچلىرىنى تەكشۈرۈڭ، ئۆزئارا تەسىر كۆرسىتىدىغان تېرمىنالنى ئىشلىتىڭ، SFTP ئارقىلىق ھۆججەت يۆتكەڭ ۋە يەرلىك پورت يۆتكەشنى باشقۇرۇڭ. ئارخىپ ۋە مايىللىقلار سۈكۈتتىكى ھالەتتە بۇ ئۈسكۈنىدە ساقلىنىدۇ. JoeSSH ھېساباتى ياكى host قىلىنغان مۇلازىمەت كېرەك ئەمەس.","SSH host ئاچقۇچىنى تەكشۈرۈش","ئۆزئارا تېرمىنال","25 MiB غىچە SFTP يۆتكەش","پەقەت loopback ئارقىلىق يەرلىك پورت يۆتكەش","يەرلىك ئۇلىنىش ئارخىپلىرى","SSH","SFTP","ئۆزئارا تېرمىنال","يەرلىك پورت يۆتكەش","يەرلىك ئۇلىنىش ئارخىپلىرى","Windows","Public Beta"
"ca-ES-valencia","ca-ES-valencia","JoeSSH","Public Beta gratuïta i de codi obert per a SSH local, SFTP i reenviament de ports en Windows x64.","JoeSSH és una Public Beta gratuïta i de codi obert per al treball SSH local en Windows x64. Connecta't a un servidor que tingues autoritzat, revisa les claus de l'amfitrió, utilitza un terminal interactiu, transfereix fitxers amb SFTP i gestiona els reenviaments de ports locals. Els perfils i les preferències es guarden per defecte en este dispositiu. No cal cap compte de JoeSSH ni cap servei allotjat.","Revisió de la clau de l'amfitrió SSH","Terminal interactiu","Transferències SFTP de fins a 25 MiB","Reenviament de ports local només per loopback","Perfils de connexió locals","SSH","SFTP","Terminal interactiu","Reenviament de ports","Perfils de connexió","Windows","Public Beta"
"cy-GB","cy-GB","JoeSSH","Public Beta am ddim, ffynhonnell agored ar gyfer SSH lleol, SFTP a blaenyrru porthladdoedd ar Windows x64.","Mae JoeSSH yn Public Beta am ddim, ffynhonnell agored ar gyfer gwaith SSH lleol ar Windows x64. Cysylltwch â gweinydd y mae gennych ganiatâd i'w ddefnyddio, adolygwch allweddi'r gwesteiwr, defnyddiwch derfynell ryngweithiol, trosglwyddwch ffeiliau gyda SFTP a rheolwch flaenyrru porthladdoedd lleol. Cedwir proffiliau a dewisiadau ar y ddyfais hon yn ddiofyn. Nid oes angen cyfrif JoeSSH na gwasanaeth a gynhelir.","Adolygu allwedd gwesteiwr SSH","Terfynell ryngweithiol","Trosglwyddiadau SFTP hyd at 25 MiB","Blaenyrru porthladdoedd lleol trwy loopback yn unig","Proffiliau cysylltiad lleol","SSH","SFTP","Terfynell ryngweithiol","Blaenyrru porthladdoedd","Proffiliau cysylltiad","Windows","Public Beta"
