"Locale","StoreLocale","SourceName","LanguageName","NativeName","AppUiSupported","AppUiLocale","ReviewRequired","MappingNote","Title","ShortDescription","FullDescription","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7","ContentSha256","ReviewStatus","Reviewer","ReviewedAt","Provenance","ScreenshotEvidence"
"te-IN","te-IN","泰卢固语","Telugu","తెలుగు","false","","false","","JoeSSH","Windows x64లో స్థానిక SSH, SFTP మరియు పోర్ట్ ఫార్వార్డింగ్ కోసం ఉచిత ఓపెన్-సోర్స్ Public Beta.","JoeSSH Windows x64లో స్థానిక SSH పని కోసం ఉచిత ఓపెన్-సోర్స్ Public Beta. మీకు అనుమతి ఉన్న సర్వర్‌కు కనెక్ట్ అవ్వండి, హోస్ట్ కీలు పరిశీలించండి, ఇంటరాక్టివ్ టెర్మినల్ ఉపయోగించండి, SFTPతో ఫైళ్లను బదిలీ చేయండి మరియు స్థానిక పోర్ట్ ఫార్వార్డింగ్ నిర్వహించండి. ప్రొఫైళ్లు, ప్రాధాన్యతలు డిఫాల్ట్‌గా ఈ పరికరంలోనే ఉంటాయి. JoeSSH ఖాతా లేదా హోస్ట్ చేసిన సేవ అవసరం లేదు.","SSH హోస్ట్ కీ పరిశీలన","ఇంటరాక్టివ్ టెర్మినల్","25 MiB వరకు SFTP బదిలీలు","loopback ద్వారా మాత్రమే స్థానిక పోర్ట్ ఫార్వార్డింగ్","స్థానిక కనెక్షన్ ప్రొఫైళ్లు","SSH","SFTP","ఇంటరాక్టివ్ టెర్మినల్","స్థానిక పోర్ట్ ఫార్వార్డింగ్","స్థానిక కనెక్షన్ ప్రొఫైళ్లు","Windows","Public Beta","fed0c1898514ff14cd03b34a6591f675745e45ccdd656de7f460fb5680455925","translation-draft","","","",""
"th-TH","th-TH","泰语","Thai","ไทย","true","th","false","","JoeSSH","Public Beta แบบฟรีและโอเพนซอร์สสำหรับ SSH, SFTP และการส่งต่อพอร์ตภายในเครื่องบน Windows x64","JoeSSH คือ Public Beta แบบฟรีและโอเพนซอร์สสำหรับงาน SSH ภายในเครื่องบน Windows x64 เชื่อมต่อเซิร์ฟเวอร์ที่คุณได้รับอนุญาต ตรวจสอบคีย์โฮสต์ ใช้เทอร์มินัลแบบโต้ตอบ ถ่ายโอนไฟล์ด้วย SFTP และจัดการการส่งต่อพอร์ตภายในเครื่อง โปรไฟล์และการตั้งค่าจะเก็บไว้ในอุปกรณ์นี้เป็นค่าเริ่มต้น ไม่ต้องมีบัญชี JoeSSH หรือบริการโฮสต์","ตรวจสอบคีย์โฮสต์ SSH","เทอร์มินัลแบบโต้ตอบ","ถ่ายโอน SFTP ได้ถึง 25 MiB","ส่งต่อพอร์ตภายในเครื่องผ่าน loopback เท่านั้น","โปรไฟล์การเชื่อมต่อภายในเครื่อง","SSH","SFTP","เทอร์มินัลแบบโต้ตอบ","ส่งต่อพอร์ตภายในเครื่องผ่าน loopback","โปรไฟล์การเชื่อมต่อภายในเครื่อง","Windows","Public Beta","c570ddb96931e38c2598ac6e386f6308694d49f553b71a36f9ec055b1ca50112","translation-draft","","","",""
"tr-TR","tr-TR","土耳其语","Turkish","Türkçe","false","","false","","JoeSSH","Windows x64 üzerinde yerel SSH, SFTP ve bağlantı noktası yönlendirmesi için ücretsiz, açık kaynaklı Public Beta.","JoeSSH, Windows x64 üzerinde yerel SSH çalışması için ücretsiz ve açık kaynaklı bir Public Beta'dır. Kullanma izniniz olan bir sunucuya bağlanın, ana bilgisayar anahtarlarını inceleyin, etkileşimli terminali kullanın, dosyaları SFTP ile aktarın ve yerel bağlantı noktası yönlendirmelerini yönetin. Profiller ve tercihler varsayılan olarak bu cihazda tutulur. JoeSSH hesabı veya barındırılan hizmet gerekmez.","SSH ana bilgisayar anahtarını inceleme","Etkileşimli terminal","25 MiB'e kadar SFTP aktarımları","Yalnızca loopback üzerinden yerel bağlantı noktası yönlendirmesi","Yerel bağlantı profilleri","SSH","SFTP","Etkileşimli terminal","yerel bağlantı noktası yönlendirmesi","Yerel bağlantı profilleri","Windows","Public Beta","08ad4d334b341dcd39628c7f09729d22d7e54b3aedccd426c4ad6bc4412bb8c1","translation-draft","","","",""
"uk-UA","uk-UA","乌克兰语","Ukrainian","Українська","false","","false","","JoeSSH","Безкоштовна Public Beta з відкритим кодом для локального SSH, SFTP і перенаправлення портів у Windows x64.","JoeSSH — безкоштовна Public Beta з відкритим кодом для локальної роботи через SSH у Windows x64. Підключайтеся до сервера, яким вам дозволено користуватися, перевіряйте ключі вузла, працюйте в інтерактивному терміналі, передавайте файли через SFTP і керуйте локальним перенаправленням портів. Профілі та налаштування за замовчуванням залишаються на цьому пристрої. Обліковий запис JoeSSH або розміщена служба не потрібні.","Перевірка ключа вузла SSH","Інтерактивний термінал","Передавання через SFTP до 25 MiB","Локальне перенаправлення портів лише через loopback","Локальні профілі підключень","SSH","SFTP","Інтерактивний термінал","Локальне перенаправлення портів","Локальні профілі","Windows","Public Beta","57b20b0645e5efcb9bd964a8e6e838824ab8a814e5afed79c3b864ed5ea5e1cb","translation-draft","","","",""
"vi-VN","vi-VN","越南语","Vietnamese","Tiếng Việt","true","vi","false","","JoeSSH","Public Beta miễn phí, mã nguồn mở cho SSH cục bộ, SFTP và chuyển tiếp cổng trên Windows x64.","JoeSSH là Public Beta miễn phí, mã nguồn mở cho công việc SSH cục bộ trên Windows x64. Kết nối đến máy chủ mà bạn được phép sử dụng, xem xét khóa máy chủ, dùng thiết bị đầu cuối tương tác, truyền tệp bằng SFTP và quản lý chuyển tiếp cổng cục bộ. Hồ sơ và tùy chọn mặc định được lưu trên thiết bị này. Không cần tài khoản JoeSSH hoặc dịch vụ được lưu trữ.","Xem xét khóa máy chủ SSH","Thiết bị đầu cuối tương tác","Truyền SFTP tối đa 25 MiB","Chuyển tiếp cổng cục bộ chỉ qua loopback","Hồ sơ kết nối cục bộ","SSH","SFTP","Thiết bị đầu cuối","Chuyển tiếp cổng cục bộ","Hồ sơ kết nối cục bộ","Windows","Public Beta","2cf09d660251044135ab3a2978c38bcabb2e9c84051303ff91fa8894f1532c29","translation-draft","","","",""
"as-IN","as-IN","阿萨姆语","Assamese","অসমীয়া","false","","false","","JoeSSH","Windows x64-ত স্থানীয় SSH, SFTP আৰু প’ৰ্ট ফৰৱাৰ্ডিঙৰ বাবে বিনামূলীয়া মুক্ত-উৎস Public Beta।","JoeSSH Windows x64-ত স্থানীয় SSH কামৰ বাবে বিনামূলীয়া মুক্ত-উৎস Public Beta। আপোনাৰ অনুমতি থকা ছাৰ্ভাৰত সংযোগ কৰক, হ’ষ্ট কী পৰীক্ষা কৰক, ইণ্টাৰেক্টিভ টাৰ্মিনেল ব্যৱহাৰ কৰক, SFTP-ৰে ফাইল স্থানান্তৰ কৰক আৰু স্থানীয় প’ৰ্ট ফৰৱাৰ্ডিং পৰিচালনা কৰক। প্ৰ’ফাইল আৰু পছন্দসমূহ ডিফ’ল্টভাৱে এই ডিভাইচতে থাকে। JoeSSH একাউণ্ট বা হ’ষ্টেড সেৱা নালাগে।","SSH হ’ষ্ট কী পৰীক্ষা","ইণ্টাৰেক্টিভ টাৰ্মিনেল","২৫ MiB লৈকে SFTP স্থানান্তৰ","কেৱল loopback স্থানীয় প’ৰ্ট ফৰৱাৰ্ডিং","স্থানীয় সংযোগ প্ৰ’ফাইল","SSH","SFTP","ইণ্টাৰেক্টিভ টাৰ্মিনেল","স্থানীয় প’ৰ্ট ফৰৱাৰ্ডিং","স্থানীয় সংযোগ প্ৰ’ফাইল","Windows","Public Beta","b3c2fa0decef221f0591a53c2364422bf39de6e0eb796a4cd70a980e4ff6aca7","translation-draft","","","",""
"bn-IN","bn-IN","孟加拉语印度","Bengali (India)","বাংলা","false","","false","","JoeSSH","Windows x64-এ স্থানীয় SSH, SFTP এবং পোর্ট ফরওয়ার্ডিংয়ের জন্য বিনামূল্যের ওপেন-সোর্স Public Beta।","JoeSSH হল Windows x64-এ স্থানীয় SSH কাজের জন্য বিনামূল্যের ওপেন-সোর্স Public Beta। আপনার অনুমোদিত সার্ভারে সংযোগ করুন, হোস্ট কী পর্যালোচনা করুন, ইন্টার‌্যাক্টিভ টার্মিনাল ব্যবহার করুন, SFTP দিয়ে ফাইল স্থানান্তর করুন এবং স্থানীয় পোর্ট ফরওয়ার্ডিং পরিচালনা করুন। প্রোফাইল ও পছন্দ ডিফল্টভাবে এই ডিভাইসেই থাকে। JoeSSH অ্যাকাউন্ট বা হোস্ট করা পরিষেবা দরকার নেই।","SSH হোস্ট কী পর্যালোচনা","ইন্টার‌্যাক্টিভ টার্মিনাল","২৫ MiB পর্যন্ত SFTP স্থানান্তর","শুধু loopback স্থানীয় পোর্ট ফরওয়ার্ডিং","স্থানীয় সংযোগ প্রোফাইল","SSH","SFTP","ইন্টার‌্যাক্টিভ টার্মিনাল","স্থানীয় পোর্ট ফরওয়ার্ডিং","স্থানীয় সংযোগ প্রোফাইল","Windows","Public Beta","3cab4d8322de176f9940d7405b0374aab8803da473b45fe91ac0f9cac1933b24","translation-draft","","","",""
"ka-GE","ka-GE","格鲁吉亚语","Georgian","ქართული","false","","false","","JoeSSH","უფასო ღია კოდის Public Beta Windows x64-ზე ლოკალური SSH-ის, SFTP-ისა და პორტების გადამისამართებისთვის.","JoeSSH არის უფასო ღია კოდის Public Beta Windows x64-ზე ლოკალური SSH მუშაობისთვის. დაუკავშირდით სერვერს, რომლის გამოყენების უფლებაც გაქვთ, შეამოწმეთ ჰოსტის გასაღებები, გამოიყენეთ ინტერაქტიული ტერმინალი, გადაიტანეთ ფაილები SFTP-ით და მართეთ ლოკალური პორტების გადამისამართება. პროფილები და პარამეტრები ნაგულისხმევად ამ მოწყობილობაზე ინახება. JoeSSH-ის ანგარიში ან ჰოსტირებული სერვისი საჭირო არ არის.","SSH ჰოსტის გასაღების შემოწმება","ინტერაქტიული ტერმინალი","SFTP გადატანები 25 MiB-მდე","ლოკალური პორტების გადამისამართება მხოლოდ loopback-ით","ლოკალური კავშირის პროფილები","SSH","SFTP","ინტერაქტიული ტერმინალი","ლოკალური პორტების გადამისამართება","ლოკალური კავშირის პროფილები","Windows","Public Beta","fe40b907511e6e3588933cfd47882e5808444bf47288f5c2e263e615eb38618c","translation-draft","","","",""
"gu-IN","gu-IN","古吉拉特语","Gujarati","ગુજરાતી","false","","false","","JoeSSH","Windows x64 પર સ્થાનિક SSH, SFTP અને પોર્ટ ફોરવર્ડિંગ માટે મફત ઓપન-સોર્સ Public Beta.","JoeSSH Windows x64 પર સ્થાનિક SSH કાર્ય માટે મફત અને ઓપન-સોર્સ Public Beta છે. તમને પરવાનગી હોય તેવા સર્વર સાથે જોડાઓ, હોસ્ટ કી તપાસો, ઇન્ટરેક્ટિવ ટર્મિનલ વાપરો, SFTP દ્વારા ફાઇલો સ્થાનાંતરિત કરો અને સ્થાનિક પોર્ટ ફોરવર્ડિંગ સંચાલિત કરો. પ્રોફાઇલ અને પસંદગીઓ ડિફૉલ્ટ રૂપે આ ડિવાઇસ પર જ રહે છે. JoeSSH એકાઉન્ટ અથવા હોસ્ટેડ સેવા જરૂરી નથી.","SSH હોસ્ટ કી તપાસ","ઇન્ટરેક્ટિવ ટર્મિનલ","25 MiB સુધીના SFTP સ્થાનાંતરણ","ફક્ત loopback સ્થાનિક પોર્ટ ફોરવર્ડિંગ","સ્થાનિક કનેક્શન પ્રોફાઇલ","SSH","SFTP","ઇન્ટરેક્ટિવ ટર્મિનલ","સ્થાનિક પોર્ટ ફોરવર્ડિંગ","સ્થાનિક કનેક્શન પ્રોફાઇલ","Windows","Public Beta","9f3ed574ca2ab719c571402277bf4a92f96208d37119b4d59c33b325d0edb6a2","translation-draft","","","",""
"ga-IE","ga-IE","爱尔兰语","Irish","Gaeilge","false","","false","","JoeSSH","Public Beta saor in aisce agus foinse oscailte do SSH logánta, SFTP agus cur ar aghaidh calafoirt ar Windows x64.","Is Public Beta saor in aisce agus foinse oscailte é JoeSSH d’obair SSH logánta ar Windows x64. Ceangail le freastalaí a bhfuil cead agat é a úsáid, déan athbhreithniú ar eochracha an óstaigh, bain úsáid as teirminéal idirghníomhach, aistrigh comhaid le SFTP agus bainistigh cur ar aghaidh calafoirt logánta. Fanann próifílí agus roghanna ar an ngléas seo de réir réamhshocraithe. Ní theastaíonn cuntas JoeSSH ná seirbhís óstáilte.","Athbhreithniú eochair óstaigh SSH","Teirminéal idirghníomhach","Aistrithe SFTP suas le 25 MiB","Cur ar aghaidh calafoirt logánta trí loopback amháin","Próifílí ceangail logánta","SSH","SFTP","Teirminéal idirghníomhach","Cur ar aghaidh calafoirt","Próifílí ceangail","Windows","Public Beta","7fcd94262f482356c7aa30e1de6d7971d3b3ff6c739eb1116185514065045b84","translation-draft","","","",""
"kok-IN","kok-IN","孔卡尼语","Konkani","कोंकणी","false","","false","","JoeSSH","Windows x64 आंत स्थानिक SSH, SFTP आनी पोर्ट फॉरवर्डिंग खातीर फुकट, मुक्त-स्रोत Public Beta.","JoeSSH हें Windows x64 आंत स्थानिक SSH कामा खातीर फुकट आनी मुक्त-स्रोत Public Beta आसा. तुमका वापरपाची परवानगी आसलेल्या सर्व्हराक जोडात, होस्ट की तपासात, परस्पर टर्मिनल वापरात, SFTP वरवीं फायलो हालोवात आनी स्थानिक पोर्ट फॉरवर्डिंग सांबाळात. प्रोफायल आनी पसंती ह्या डिव्हायसार डीफॉल्टान दवरात. JoeSSH खातें वा होस्टेड सेवा जायना.","SSH होस्ट की तपासणी","परस्पर टर्मिनल","25 MiB मेरेन SFTP हस्तांतरण","फकत loopback स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक जोडणी प्रोफायल","SSH","SFTP","परस्पर टर्मिनल","स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक जोडणी प्रोफायल","Windows","Public Beta","e0ace612f3340b6ad9a69f53e60e17dcd9e71185ff57ede985dc2822273e2645","translation-draft","","","",""
"lb-LU","lb-LU","卢森堡语","Luxembourgish","Lëtzebuergesch","false","","false","","JoeSSH","Gratis Open-Source Public Beta fir lokalen SSH, SFTP a Port-Forwarding op Windows x64.","JoeSSH ass eng gratis Open-Source Public Beta fir lokal SSH-Aarbecht op Windows x64. Verbannt Iech mat engem Server, deen Dir benotze dierft, iwwerpréift d’Host-Schlësselen, benotzt en interaktiven Terminal, transferéiert Fichiere mat SFTP a geréiert lokal Port-Forwarding. Profiller a Preferenze bleiwen als Standard op dësem Apparat. E JoeSSH-Kont oder en gehoste Service ass net néideg.","SSH-Hostschlëssel iwwerpréiwen","Interaktiven Terminal","SFTP-Transfere bis 25 MiB","Lokalt Port-Forwarding nëmmen iwwer loopback","Lokal Verbindungsprofiller","SSH","SFTP","Interaktiven Terminal","Lokalt Port-Forwarding","Lokal Verbindungsprofiller","Windows","Public Beta","9cb1ef6a6e02a8884ca1f5272a4f188ce9a5d2c70ff6e8368c7460c5dbf55414","translation-draft","","","",""
"mt-MT","mt-MT","马耳他语","Maltese","Malti","false","","false","","JoeSSH","Public Beta b’xejn u open source għal SSH lokali, SFTP u forwarding tal-portijiet fuq Windows x64.","JoeSSH huwa Public Beta b’xejn u open source għal xogħol SSH lokali fuq Windows x64. Ikkonnettja ma’ server li għandek permess tuża, irrevedi ċ-ċwievet tal-host, uża terminal interattiv, ittrasferixxi fajls b’SFTP u mmaniġġja l-forwarding tal-portijiet lokali. Il-profili u l-preferenzi jinżammu fuq dan it-tagħmir b’mod awtomatiku. M’hemmx bżonn kont JoeSSH jew servizz ospitat.","Reviżjoni taċ-ċavetta tal-host SSH","Terminal interattiv","Trasferimenti SFTP sa 25 MiB","Forwarding lokali tal-portijiet permezz ta’ loopback biss","Profili ta’ konnessjoni lokali","SSH","SFTP","Terminal interattiv","Forwarding lokali tal-portijiet","Profili ta’ konnessjoni","Windows","Public Beta","bd56d1e5ad5fda44bf268a33f69f0a0f923faa3454a178c2154ad576aecf10fe","translation-draft","","","",""
"mi-NZ","mi-NZ","毛利语","Māori","Te reo Māori","false","","false","","JoeSSH","Public Beta kore utu, puna tuwhera mō SSH ā-rohe, SFTP me te tuku tauranga ki Windows x64.","He Public Beta kore utu, puna tuwhera a JoeSSH mō ngā mahi SSH ā-rohe ki Windows x64. Hono atu ki tētahi tūmau e whai whakaaetanga ana koe, arotakehia ngā kī kaihautū, whakamahia he kāpeka pāhekoheko, whakawhitihia ngā kōnae mā SFTP, ā, whakahaerehia ngā tuku tauranga ā-rohe. Ka noho ngā kōtaha me ngā manakohanga ki tēnei taputapu hei taunoa. Kāore he pūkete JoeSSH, he ratonga manaaki rānei e hiahiatia ana.","Arotake kī kaihautū SSH","Kāpeka pāhekoheko","Whakawhitinga SFTP ki te 25 MiB","Tuku tauranga ā-rohe mā loopback anake","Kōtaha hononga ā-rohe","SSH","SFTP","Kāpeka pāhekoheko","Tuku tauranga ā-rohe","Kōtaha hononga ā-rohe","Windows","Public Beta","82d670822d3412c0678e1d10aa8c99f5b9b76a2c00e70172de614ad5458a4bdb","translation-draft","","","",""
"mr-IN","mr-IN","马拉地语","Marathi","मराठी","false","","false","","JoeSSH","Windows x64 वर स्थानिक SSH, SFTP आणि पोर्ट फॉरवर्डिंगसाठी मोफत ओपन-सोर्स Public Beta.","JoeSSH हे Windows x64 वरील स्थानिक SSH कामासाठी मोफत आणि ओपन-सोर्स Public Beta आहे. तुम्हाला परवानगी असलेल्या सर्व्हरशी जोडा, होस्ट की तपासा, इंटरॅक्टिव्ह टर्मिनल वापरा, SFTP ने फाइल हस्तांतरित करा आणि स्थानिक पोर्ट फॉरवर्डिंग व्यवस्थापित करा. प्रोफाइल आणि प्राधान्ये डीफॉल्टनुसार या डिव्हाइसवरच राहतात. JoeSSH खाते किंवा होस्टेड सेवा आवश्यक नाही.","SSH होस्ट की तपासणी","इंटरॅक्टिव्ह टर्मिनल","25 MiB पर्यंतचे SFTP हस्तांतरण","फक्त loopback स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक कनेक्शन प्रोफाइल","SSH","SFTP","इंटरॅक्टिव्ह टर्मिनल","स्थानिक पोर्ट फॉरवर्डिंग","स्थानिक कनेक्शन प्रोफाइल","Windows","Public Beta","afa17127b07f36f9a61d2b1787a897c5b942cce16778a97fec7dcac6480dff22","translation-draft","","","",""
"ne-NP","ne-NP","尼泊尔语","Nepali","नेपाली","false","","false","","JoeSSH","Windows x64 मा स्थानीय SSH, SFTP र पोर्ट फर्वार्डिङका लागि निःशुल्क खुला-स्रोत Public Beta।","JoeSSH Windows x64 मा स्थानीय SSH कामका लागि निःशुल्क खुला-स्रोत Public Beta हो। तपाईंलाई अनुमति भएको सर्भरमा जडान गर्नुहोस्, होस्ट कुञ्जी जाँच्नुहोस्, अन्तरक्रियात्मक टर्मिनल प्रयोग गर्नुहोस्, SFTP मार्फत फाइल सार्नुहोस् र स्थानीय पोर्ट फर्वार्डिङ व्यवस्थापन गर्नुहोस्। प्रोफाइल र प्राथमिकताहरू पूर्वनिर्धारित रूपमा यही उपकरणमा रहन्छन्। JoeSSH खाता वा होस्ट गरिएको सेवा आवश्यक छैन।","SSH होस्ट कुञ्जी समीक्षा","अन्तरक्रियात्मक टर्मिनल","25 MiB सम्म SFTP स्थानान्तरण","loopback मात्र स्थानीय पोर्ट फर्वार्डिङ","स्थानीय जडान प्रोफाइल","SSH","SFTP","अन्तरक्रियात्मक टर्मिनल","स्थानीय पोर्ट फर्वार्डिङ","स्थानीय जडान प्रोफाइल","Windows","Public Beta","8ceeea8c8ba8bb04d06afec2ed50caf5d69f5c3d8e0814fa4fbfd90f7d6287dc","translation-draft","","","",""
"or-IN","or-IN","奥里亚语","Odia","ଓଡ଼ିଆ","false","","false","","JoeSSH","Windows x64 ରେ ସ୍ଥାନୀୟ SSH, SFTP ଏବଂ ପୋର୍ଟ ଫରୱାର୍ଡିଂ ପାଇଁ ମାଗଣା ମୁକ୍ତ-ସ୍ରୋତ Public Beta।","JoeSSH Windows x64 ରେ ସ୍ଥାନୀୟ SSH କାମ ପାଇଁ ମାଗଣା ମୁକ୍ତ-ସ୍ରୋତ Public Beta। ଆପଣଙ୍କର ଅନୁମତି ଥିବା ସର୍ଭରକୁ ସଂଯୋଗ କରନ୍ତୁ, ହୋଷ୍ଟ କୀ ସମୀକ୍ଷା କରନ୍ତୁ, ଇଣ୍ଟରାକ୍ଟିଭ୍ ଟର୍ମିନାଲ୍ ବ୍ୟବହାର କରନ୍ତୁ, SFTP ରେ ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର କରନ୍ତୁ ଏବଂ ସ୍ଥାନୀୟ ପୋର୍ଟ ଫରୱାର୍ଡିଂ ପରିଚାଳନା କରନ୍ତୁ। ପ୍ରୋଫାଇଲ୍ ଓ ପସନ୍ଦଗୁଡ଼ିକ ଡିଫଲ୍ଟ ଭାବରେ ଏହି ଡିଭାଇସରେ ରହେ। JoeSSH ଖାତା କିମ୍ବା ହୋଷ୍ଟେଡ୍ ସେବା ଦରକାର ନାହିଁ।","SSH ହୋଷ୍ଟ କୀ ସମୀକ୍ଷା","ଇଣ୍ଟରାକ୍ଟିଭ୍ ଟର୍ମିନାଲ୍","25 MiB ପର୍ଯ୍ୟନ୍ତ SFTP ସ୍ଥାନାନ୍ତର","କେବଳ loopback ସ୍ଥାନୀୟ ପୋର୍ଟ ଫରୱାର୍ଡିଂ","ସ୍ଥାନୀୟ ସଂଯୋଗ ପ୍ରୋଫାଇଲ୍","SSH","SFTP","ଇଣ୍ଟରାକ୍ଟିଭ୍ ଟର୍ମିନାଲ୍","ସ୍ଥାନୀୟ ପୋର୍ଟ ଫରୱାର୍ଡିଂ","ସ୍ଥାନୀୟ ସଂଯୋଗ ପ୍ରୋଫାଇଲ୍","Windows","Public Beta","576ef1eb347c7b01bac3c44be194bb14897a8022c1076bcc7100aff6b4acab84","translation-draft","","","",""
"pa-IN","pa-IN","旁遮普语印度","Punjabi (India)","ਪੰਜਾਬੀ","false","","false","","JoeSSH","Windows x64 ਉੱਤੇ ਸਥਾਨਕ SSH, SFTP ਅਤੇ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ ਲਈ ਮੁਫ਼ਤ ਓਪਨ-ਸੋਰਸ Public Beta।","JoeSSH Windows x64 ਉੱਤੇ ਸਥਾਨਕ SSH ਕੰਮ ਲਈ ਮੁਫ਼ਤ ਅਤੇ ਓਪਨ-ਸੋਰਸ Public Beta ਹੈ। ਜਿਸ ਸਰਵਰ ਨੂੰ ਵਰਤਣ ਦੀ ਤੁਹਾਨੂੰ ਇਜਾਜ਼ਤ ਹੈ ਉਸ ਨਾਲ ਜੁੜੋ, ਹੋਸਟ ਕੁੰਜੀਆਂ ਦੀ ਜਾਂਚ ਕਰੋ, ਇੰਟਰਐਕਟਿਵ ਟਰਮੀਨਲ ਵਰਤੋ, SFTP ਰਾਹੀਂ ਫ਼ਾਈਲਾਂ ਭੇਜੋ ਅਤੇ ਸਥਾਨਕ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ ਸੰਭਾਲੋ। ਪ੍ਰੋਫ਼ਾਈਲ ਅਤੇ ਪਸੰਦਾਂ ਮੂਲ ਰੂਪ ਵਿੱਚ ਇਸ ਡਿਵਾਈਸ ਉੱਤੇ ਰਹਿੰਦੀਆਂ ਹਨ। JoeSSH ਖਾਤੇ ਜਾਂ ਹੋਸਟ ਕੀਤੀ ਸੇਵਾ ਦੀ ਲੋੜ ਨਹੀਂ।","SSH ਹੋਸਟ ਕੁੰਜੀ ਦੀ ਜਾਂਚ","ਇੰਟਰਐਕਟਿਵ ਟਰਮੀਨਲ","25 MiB ਤੱਕ SFTP ਟ੍ਰਾਂਸਫ਼ਰ","ਕੇਵਲ loopback ਸਥਾਨਕ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ","ਸਥਾਨਕ ਕਨੈਕਸ਼ਨ ਪ੍ਰੋਫ਼ਾਈਲ","SSH","SFTP","ਇੰਟਰਐਕਟਿਵ ਟਰਮੀਨਲ","ਸਥਾਨਕ ਪੋਰਟ ਫਾਰਵਰਡਿੰਗ","ਸਥਾਨਕ ਕਨੈਕਸ਼ਨ ਪ੍ਰੋਫ਼ਾਈਲ","Windows","Public Beta","1bc40b70aa68af4581b03dd9b7312c84d7bd727858df166fc5fe98b75dfe34ef","translation-draft","","","",""
"qu-PE","quz-PE","克丘亚语","Quechua (Peru)","Runasimi","false","","true","BCP 47 qu-PE, Microsoft Store quz-PE; Peru suyupa locale-ninmi. Partner Center-pi qhawarispa, runasimi rimayniyuq native review-ta ruray manaraq apachiy.","JoeSSH","Public Beta mana qullqiyuq, qillqa kichasqa, Windows x64-pi SSH local, SFTP hinaspa puertokunapa ñawpaqman apayninpaq.","JoeSSHqa Public Beta mana qullqiyuq, qillqa kichasqa, Windows x64-pi SSH local llamkaypaqmi. Saqisqa kamachiqman tinkuy, hostpa llavenkunata qhawariy, rimanakuy qillqanata llamkachi, SFTPwan qillqakunata apachiy, hinaspa puertokunapa ñawpaqman apayninta kamachiy. Tinkiy perfilkunapas akllasqakunapas kay dispositivollapi waqaychasqa kachkan. JoeSSH yupay utaq wasichasqa yanapakuyqa manam munasqachu.","SSH hostpa llavenkunata qhawariy","Rimanakuy qillqana","SFTPwan qillqakuna 25 MiB-kama","Loopbacklla puertokunapa ñawpaqman apaynin","Tinkiy perfilkuna kay dispositivollapi","SSH","SFTP","Rimanakuy qillqana","puertokunapa ñawpaqman apaynin","Tinkiy perfilkuna","Windows","Public Beta","f3f94ae8fc0a5cd4eb5a84fe6769b4a7ac46f4c5aa159e551e45d73df076e34f","translation-draft","","","",""
"gd-GB","gd-GB","苏格兰盖尔语","Scottish Gaelic","Gàidhlig","false","","false","","JoeSSH","Public Beta saor an-asgaidh le còd fosgailte airson SSH ionadail, SFTP agus cur air adhart phuirt air Windows x64.","’S e Public Beta saor an-asgaidh le còd fosgailte a th’ ann an JoeSSH airson obair SSH ionadail air Windows x64. Ceangail ri frithealaiche a tha cead agad a chleachdadh, dèan lèirmheas air iuchraichean an òstair, cleachd crìoch eadar-ghnìomhach, gluais faidhlichean le SFTP agus stiùir cur air adhart phuirt ionadail. Bidh pròifilean agus roghainnean air an sàbhaladh air an inneal seo mar bhun-roghainn. Chan eil cunntas JoeSSH no seirbheis aoigheachd a dhìth.","Lèirmheas air iuchair òstair SSH","Crìoch eadar-ghnìomhach","Gluasadan SFTP suas ri 25 MiB","Cur air adhart phuirt ionadail tro loopback a-mhàin","Pròifilean ceangail ionadail","SSH","SFTP","Crìoch eadar-ghnìomhach","Cur air adhart phuirt","Pròifilean ceangail","Windows","Public Beta","fa80f63da5b0a541e297b76104b6e88c26e49ee4cf81b5a4dddf4aa363dd6e06","translation-draft","","","",""
"sr-Cyrl-BA","sr-Cyrl-BA","塞尔维亚语西里尔波黑","Serbian (Cyrillic, Bosnia and Herzegovina)","Српски (ћирилица)","false","","false","","JoeSSH","Бесплатна Public Beta отвореног кода за локални SSH, SFTP и прослеђивање портова на Windows x64.","JoeSSH је бесплатна Public Beta отвореног кода за локални SSH рад на Windows x64. Повежите се са сервером за који имате дозволу, проверите кључеве хоста, користите интерактивни терминал, преносите датотеке помоћу SFTP-а и управљајте локалним прослеђивањем портова. Профили и подешавања се подразумевано чувају на овом уређају. JoeSSH налог или хостована услуга нису потребни.","Провера SSH кључа хоста","Интерактивни терминал","SFTP преноси до 25 MiB","Локално прослеђивање само преко loopback-а","Локални профили веза","SSH","SFTP","Интерактивни терминал","Локално прослеђивање портова","Локални профили","Windows","Public Beta","7b63eb016457ada3e2266c46a9a5bd81fcd15fbf518a507d073ddbd171d2d256","translation-draft","","","",""
